Edge Sequence,Genus,1st order gonality,Counterexample
"5,2,7,8,8,5",29,gonality: 7,No
"5,2,7,8,8,6",30,gonality: 7,No
"5,2,7,8,8,7",31,gonality: 7,No
"5,2,7,8,8,8",32,gonality: 7,No
"5,2,8,2,2,6",19,gonality: 6,No
"5,2,8,2,2,7",20,gonality: 6,No
"5,2,8,2,2,8",21,gonality: 6,No
"5,2,8,2,3,5",19,gonality: 7,No
"5,2,8,2,3,6",20,gonality: 7,No
"5,2,8,2,3,7",21,gonality: 7,No
"5,2,8,2,3,8",22,gonality: 7,No
"5,2,8,2,4,5",20,gonality: 7,No
"5,2,8,2,4,6",21,gonality: 7,No
"5,2,8,2,4,7",22,gonality: 7,No
"5,2,8,2,4,8",23,gonality: 7,No
"5,2,8,2,5,5",21,gonality: 7,No
"5,2,8,2,5,6",22,gonality: 7,No
"5,2,8,2,5,7",23,gonality: 7,No
"5,2,8,2,5,8",24,gonality: 7,No
"5,2,8,2,6,5",22,gonality: 7,No
"5,2,8,2,6,6",23,gonality: 7,No
"5,2,8,2,6,7",24,gonality: 7,No
"5,2,8,2,6,8",25,gonality: 7,No
"5,2,8,2,7,5",23,gonality: 7,No
"5,2,8,2,7,6",24,gonality: 7,No
"5,2,8,2,7,7",25,gonality: 7,No
"5,2,8,2,7,8",26,gonality: 7,No
"5,2,8,2,8,5",24,gonality: 7,No
"5,2,8,2,8,6",25,gonality: 7,No
"5,2,8,2,8,7",26,gonality: 7,No
"5,2,8,2,8,8",27,gonality: 7,No
"5,2,8,3,2,6",20,gonality: 7,No
"5,2,8,3,2,7",21,gonality: 7,No
"5,2,8,3,2,8",22,gonality: 7,No
"5,2,8,3,3,5",20,gonality: 7,No
"5,2,8,3,3,6",21,gonality: 7,No
"5,2,8,3,3,7",22,gonality: 7,No
"5,2,8,3,3,8",23,gonality: 7,No
"5,2,8,3,4,5",21,gonality: 7,No
"5,2,8,3,4,6",22,gonality: 7,No
"5,2,8,3,4,7",23,gonality: 7,No
"5,2,8,3,4,8",24,gonality: 7,No
"5,2,8,3,5,5",22,gonality: 7,No
"5,2,8,3,5,6",23,gonality: 7,No
"5,2,8,3,5,7",24,gonality: 7,No
"5,2,8,3,5,8",25,gonality: 7,No
"5,2,8,3,6,5",23,gonality: 7,No
"5,2,8,3,6,6",24,gonality: 7,No
"5,2,8,3,6,7",25,gonality: 7,No
"5,2,8,3,6,8",26,gonality: 7,No
"5,2,8,3,7,5",24,gonality: 7,No
"5,2,8,3,7,6",25,gonality: 7,No
"5,2,8,3,7,7",26,gonality: 7,No
"5,2,8,3,7,8",27,gonality: 7,No
"5,2,8,3,8,5",25,gonality: 7,No
"5,2,8,3,8,6",26,gonality: 7,No
"5,2,8,3,8,7",27,gonality: 7,No
"5,2,8,3,8,8",28,gonality: 7,No
"5,2,8,4,2,6",21,gonality: 7,No
"5,2,8,4,2,7",22,gonality: 7,No
"5,2,8,4,2,8",23,gonality: 7,No
"5,2,8,4,3,5",21,gonality: 7,No
"5,2,8,4,3,6",22,gonality: 7,No
"5,2,8,4,3,7",23,gonality: 7,No
"5,2,8,4,3,8",24,gonality: 7,No
"5,2,8,4,4,5",22,gonality: 7,No
"5,2,8,4,4,6",23,gonality: 7,No
"5,2,8,4,4,7",24,gonality: 7,No
"5,2,8,4,4,8",25,gonality: 7,No
"5,2,8,4,5,5",23,gonality: 7,No
"5,2,8,4,5,6",24,gonality: 7,No
"5,2,8,4,5,7",25,gonality: 7,No
"5,2,8,4,5,8",26,gonality: 7,No
"5,2,8,4,6,5",24,gonality: 7,No
"5,2,8,4,6,6",25,gonality: 7,No
"5,2,8,4,6,7",26,gonality: 7,No
"5,2,8,4,6,8",27,gonality: 7,No
"5,2,8,4,7,5",25,gonality: 7,No
"5,2,8,4,7,6",26,gonality: 7,No
"5,2,8,4,7,7",27,gonality: 7,No
"5,2,8,4,7,8",28,gonality: 7,No
"5,2,8,4,8,5",26,gonality: 7,No
"5,2,8,4,8,6",27,gonality: 7,No
"5,2,8,4,8,7",28,gonality: 7,No
"5,2,8,4,8,8",29,gonality: 7,No
"5,2,8,5,2,6",22,gonality: 7,No
"5,2,8,5,2,7",23,gonality: 7,No
"5,2,8,5,2,8",24,gonality: 7,No
"5,2,8,5,3,5",22,gonality: 7,No
"5,2,8,5,3,6",23,gonality: 7,No
"5,2,8,5,3,7",24,gonality: 7,No
"5,2,8,5,3,8",25,gonality: 7,No
"5,2,8,5,4,5",23,gonality: 7,No
"5,2,8,5,4,6",24,gonality: 7,No
"5,2,8,5,4,7",25,gonality: 7,No
"5,2,8,5,4,8",26,gonality: 7,No
"5,2,8,5,5,5",24,gonality: 7,No
"5,2,8,5,5,6",25,gonality: 7,No
"5,2,8,5,5,7",26,gonality: 7,No
"5,2,8,5,5,8",27,gonality: 7,No
"5,2,8,5,6,5",25,gonality: 7,No
"5,2,8,5,6,6",26,gonality: 7,No
"5,2,8,5,6,7",27,gonality: 7,No
"5,2,8,5,6,8",28,gonality: 7,No
"5,2,8,5,7,5",26,gonality: 7,No
"5,2,8,5,7,6",27,gonality: 7,No
"5,2,8,5,7,7",28,gonality: 7,No
"5,2,8,5,7,8",29,gonality: 7,No
"5,2,8,5,8,5",27,gonality: 7,No
"5,2,8,5,8,6",28,gonality: 7,No
"5,2,8,5,8,7",29,gonality: 7,No
"5,2,8,5,8,8",30,gonality: 7,No
"5,2,8,6,2,6",23,gonality: 7,No
"5,2,8,6,2,7",24,gonality: 7,No
"5,2,8,6,2,8",25,gonality: 7,No
"5,2,8,6,3,5",23,gonality: 7,No
"5,2,8,6,3,6",24,gonality: 7,No
"5,2,8,6,3,7",25,gonality: 7,No
"5,2,8,6,3,8",26,gonality: 7,No
"5,2,8,6,4,5",24,gonality: 7,No
"5,2,8,6,4,6",25,gonality: 7,No
"5,2,8,6,4,7",26,gonality: 7,No
"5,2,8,6,4,8",27,gonality: 7,No
"5,2,8,6,5,5",25,gonality: 7,No
"5,2,8,6,5,6",26,gonality: 7,No
"5,2,8,6,5,7",27,gonality: 7,No
"5,2,8,6,5,8",28,gonality: 7,No
"5,2,8,6,6,5",26,gonality: 7,No
"5,2,8,6,6,6",27,gonality: 7,No
"5,2,8,6,6,7",28,gonality: 7,No
"5,2,8,6,6,8",29,gonality: 7,No
"5,2,8,6,7,5",27,gonality: 7,No
"5,2,8,6,7,6",28,gonality: 7,No
"5,2,8,6,7,7",29,gonality: 7,No
"5,2,8,6,7,8",30,gonality: 7,No
"5,2,8,6,8,5",28,gonality: 7,No
"5,2,8,6,8,6",29,gonality: 7,No
"5,2,8,6,8,7",30,gonality: 7,No
"5,2,8,6,8,8",31,gonality: 7,No
"5,2,8,7,2,6",24,gonality: 7,No
"5,2,8,7,2,7",25,gonality: 7,No
"5,2,8,7,2,8",26,gonality: 7,No
"5,2,8,7,3,5",24,gonality: 7,No
"5,2,8,7,3,6",25,gonality: 7,No
"5,2,8,7,3,7",26,gonality: 7,No
"5,2,8,7,3,8",27,gonality: 7,No
"5,2,8,7,4,5",25,gonality: 7,No
"5,2,8,7,4,6",26,gonality: 7,No
"5,2,8,7,4,7",27,gonality: 7,No
"5,2,8,7,4,8",28,gonality: 7,No
"5,2,8,7,5,5",26,gonality: 7,No
"5,2,8,7,5,6",27,gonality: 7,No
"5,2,8,7,5,7",28,gonality: 7,No
"5,2,8,7,5,8",29,gonality: 7,No
"5,2,8,7,6,5",27,gonality: 7,No
"5,2,8,7,6,6",28,gonality: 7,No
"5,2,8,7,6,7",29,gonality: 7,No
"5,2,8,7,6,8",30,gonality: 7,No
"5,2,8,7,7,5",28,gonality: 7,No
"5,2,8,7,7,6",29,gonality: 7,No
"5,2,8,7,7,7",30,gonality: 7,No
"5,2,8,7,7,8",31,gonality: 7,No
"5,2,8,7,8,5",29,gonality: 7,No
"5,2,8,7,8,6",30,gonality: 7,No
"5,2,8,7,8,7",31,gonality: 7,No
"5,2,8,7,8,8",32,gonality: 7,No
"5,2,8,8,2,5",24,gonality: 7,No
"5,2,8,8,2,6",25,gonality: 7,No
"5,2,8,8,2,7",26,gonality: 7,No
"5,2,8,8,2,8",27,gonality: 7,No
"5,2,8,8,3,5",25,gonality: 7,No
"5,2,8,8,3,6",26,gonality: 7,No
"5,2,8,8,3,7",27,gonality: 7,No
"5,2,8,8,3,8",28,gonality: 7,No
"5,2,8,8,4,5",26,gonality: 7,No
"5,2,8,8,4,6",27,gonality: 7,No
"5,2,8,8,4,7",28,gonality: 7,No
"5,2,8,8,4,8",29,gonality: 7,No
"5,2,8,8,5,5",27,gonality: 7,No
"5,2,8,8,5,6",28,gonality: 7,No
"5,2,8,8,5,7",29,gonality: 7,No
"5,2,8,8,5,8",30,gonality: 7,No
"5,2,8,8,6,5",28,gonality: 7,No
"5,2,8,8,6,6",29,gonality: 7,No
"5,2,8,8,6,7",30,gonality: 7,No
"5,2,8,8,6,8",31,gonality: 7,No
"5,2,8,8,7,5",29,gonality: 7,No
"5,2,8,8,7,6",30,gonality: 7,No
"5,2,8,8,7,7",31,gonality: 7,No
"5,2,8,8,7,8",32,gonality: 7,No
"5,2,8,8,8,5",30,gonality: 7,No
"5,2,8,8,8,6",31,gonality: 7,No
"5,2,8,8,8,7",32,gonality: 7,No
"5,2,8,8,8,8",33,gonality: 7,No
"5,3,2,2,2,6",14,gonality: 5,No
"5,3,2,2,2,7",15,gonality: 5,No
"5,3,2,2,2,8",16,gonality: 5,No
"5,3,2,2,3,5",14,gonality: 6,No
"5,3,2,2,3,6",15,gonality: 6,No
"5,3,2,2,3,7",16,gonality: 6,No
"5,3,2,2,3,8",17,gonality: 6,No
"5,3,2,2,4,5",15,gonality: 6,No
"5,3,2,2,4,6",16,gonality: 6,No
"5,3,2,2,4,7",17,gonality: 6,No
"5,3,2,2,4,8",18,gonality: 6,No
"5,3,2,2,5,5",16,gonality: 6,No
"5,3,2,2,5,6",17,gonality: 6,No
"5,3,2,2,5,7",18,gonality: 6,No
"5,3,2,2,5,8",19,gonality: 6,No
"5,3,2,2,6,5",17,gonality: 6,No
"5,3,2,2,6,6",18,gonality: 6,No
"5,3,2,2,6,7",19,gonality: 6,No
"5,3,2,2,6,8",20,gonality: 6,No
"5,3,2,2,7,5",18,gonality: 6,No
"5,3,2,2,7,6",19,gonality: 6,No
"5,3,2,2,7,7",20,gonality: 6,No
"5,3,2,2,7,8",21,gonality: 6,No
"5,3,2,2,8,5",19,gonality: 6,No
"5,3,2,2,8,6",20,gonality: 6,No
"5,3,2,2,8,7",21,gonality: 6,No
"5,3,2,2,8,8",22,gonality: 6,No
"5,3,2,3,2,6",15,gonality: 6,No
"5,3,2,3,2,7",16,gonality: 6,No
"5,3,2,3,2,8",17,gonality: 6,No
"5,3,2,3,3,5",15,gonality: 6,No
"5,3,2,3,3,6",16,gonality: 6,No
"5,3,2,3,3,7",17,gonality: 6,No
"5,3,2,3,3,8",18,gonality: 6,No
"5,3,2,3,4,5",16,gonality: 7,No
"5,3,2,3,4,6",17,gonality: 7,No
"5,3,2,3,4,7",18,gonality: 7,No
"5,3,2,3,4,8",19,gonality: 7,No
"5,3,2,3,5,5",17,gonality: 6,No
"5,3,2,3,5,6",18,gonality: 7,No
"5,3,2,3,5,7",19,gonality: 7,No
"5,3,2,3,5,8",20,gonality: 7,No
"5,3,2,3,6,5",18,gonality: 6,No
"5,3,2,3,6,6",19,gonality: 6,No
"5,3,2,3,6,7",20,gonality: 7,No
"5,3,2,3,6,8",21,gonality: 7,No
"5,3,2,3,7,5",19,gonality: 7,No
"5,3,2,3,7,6",20,gonality: 7,No
"5,3,2,3,7,7",21,gonality: 7,No
"5,3,2,3,7,8",22,gonality: 7,No
"5,3,2,3,8,5",20,gonality: 7,No
"5,3,2,3,8,6",21,gonality: 7,No
"5,3,2,3,8,7",22,gonality: 7,No
"5,3,2,3,8,8",23,gonality: 7,No
"5,3,2,4,2,6",16,gonality: 6,No
"5,3,2,4,2,7",17,gonality: 6,No
"5,3,2,4,2,8",18,gonality: 6,No
"5,3,2,4,3,5",16,gonality: 6,No
"5,3,2,4,3,6",17,gonality: 6,No
"5,3,2,4,3,7",18,gonality: 6,No
"5,3,2,4,3,8",19,gonality: 6,No
"5,3,2,4,4,5",17,gonality: 6,No
"5,3,2,4,4,6",18,gonality: 6,No
"5,3,2,4,4,7",19,gonality: 6,No
"5,3,2,4,4,8",20,gonality: 6,No
"5,3,2,4,5,5",18,gonality: 6,No
"5,3,2,4,5,6",19,gonality: 7,No
"5,3,2,4,5,7",20,gonality: 7,No
"5,3,2,4,5,8",21,gonality: 7,No
"5,3,2,4,6,5",19,gonality: 7,No
"5,3,2,4,6,6",20,gonality: 7,No
"5,3,2,4,6,7",21,gonality: 7,No
"5,3,2,4,6,8",22,gonality: 7,No
"5,3,2,4,7,5",20,gonality: 7,No
"5,3,2,4,7,6",21,gonality: 7,No
"5,3,2,4,7,7",22,gonality: 7,No
"5,3,2,4,7,8",23,gonality: 7,No
"5,3,2,4,8,5",21,gonality: 7,No
"5,3,2,4,8,6",22,gonality: 7,No
"5,3,2,4,8,7",23,gonality: 7,No
"5,3,2,4,8,8",24,gonality: 7,No
"5,3,2,5,2,6",17,gonality: 7,No
"5,3,2,5,2,7",18,gonality: 7,No
"5,3,2,5,2,8",19,gonality: 7,No
"5,3,2,5,3,5",17,gonality: 7,No
"5,3,2,5,3,6",18,gonality: 7,No
"5,3,2,5,3,7",19,gonality: 7,No
"5,3,2,5,3,8",20,gonality: 7,No
"5,3,2,5,4,5",18,gonality: 7,No
"5,3,2,5,4,6",19,gonality: 7,No
"5,3,2,5,4,7",20,gonality: 7,No
"5,3,2,5,4,8",21,gonality: 7,No
"5,3,2,5,5,5",19,gonality: 6,No
"5,3,2,5,5,6",20,gonality: 7,No
"5,3,2,5,5,7",21,gonality: 7,No
"5,3,2,5,5,8",22,gonality: 7,No
"5,3,2,5,6,5",20,gonality: 7,No
"5,3,2,5,6,6",21,gonality: 7,No
"5,3,2,5,6,7",22,gonality: 7,No
"5,3,2,5,6,8",23,gonality: 7,No
"5,3,2,5,7,5",21,gonality: 7,No
"5,3,2,5,7,6",22,gonality: 7,No
"5,3,2,5,7,7",23,gonality: 7,No
"5,3,2,5,7,8",24,gonality: 7,No
"5,3,2,5,8,5",22,gonality: 7,No
"5,3,2,5,8,6",23,gonality: 7,No
"5,3,2,5,8,7",24,gonality: 7,No
"5,3,2,5,8,8",25,gonality: 7,No
"5,3,2,6,2,6",18,gonality: 6,No
"5,3,2,6,2,7",19,gonality: 7,No
"5,3,2,6,2,8",20,gonality: 7,No
"5,3,2,6,3,5",18,gonality: 6,No
"5,3,2,6,3,6",19,gonality: 6,No
"5,3,2,6,3,7",20,gonality: 7,No
"5,3,2,6,3,8",21,gonality: 7,No
"5,3,2,6,4,5",19,gonality: 7,No
"5,3,2,6,4,6",20,gonality: 7,No
"5,3,2,6,4,7",21,gonality: 7,No
"5,3,2,6,4,8",22,gonality: 7,No
"5,3,2,6,5,5",20,gonality: 6,No
"5,3,2,6,5,6",21,gonality: 7,No
"5,3,2,6,5,7",22,gonality: 7,No
"5,3,2,6,5,8",23,gonality: 7,No
"5,3,2,6,6,5",21,gonality: 6,No
"5,3,2,6,6,6",22,gonality: 6,No
"5,3,2,6,6,7",23,gonality: 7,No
"5,3,2,6,6,8",24,gonality: 7,No
"5,3,2,6,7,5",22,gonality: 7,No
"5,3,2,6,7,6",23,gonality: 7,No
"5,3,2,6,7,7",24,gonality: 7,No
"5,3,2,6,7,8",25,gonality: 7,No
"5,3,2,6,8,5",23,gonality: 7,No
"5,3,2,6,8,6",24,gonality: 7,No
"5,3,2,6,8,7",25,gonality: 7,No
"5,3,2,6,8,8",26,gonality: 7,No
"5,3,2,7,2,6",19,gonality: 7,No
"5,3,2,7,2,7",20,gonality: 7,No
"5,3,2,7,2,8",21,gonality: 7,No
"5,3,2,7,3,5",19,gonality: 7,No
"5,3,2,7,3,6",20,gonality: 7,No
"5,3,2,7,3,7",21,gonality: 7,No
"5,3,2,7,3,8",22,gonality: 7,No
"5,3,2,7,4,5",20,gonality: 7,No
"5,3,2,7,4,6",21,gonality: 7,No
"5,3,2,7,4,7",22,gonality: 7,No
"5,3,2,7,4,8",23,gonality: 7,No
"5,3,2,7,5,5",21,gonality: 7,No
"5,3,2,7,5,6",22,gonality: 7,No
"5,3,2,7,5,7",23,gonality: 7,No
"5,3,2,7,5,8",24,gonality: 7,No
"5,3,2,7,6,5",22,gonality: 7,No
"5,3,2,7,6,6",23,gonality: 7,No
"5,3,2,7,6,7",24,gonality: 7,No
"5,3,2,7,6,8",25,gonality: 7,No
"5,3,2,7,7,5",23,gonality: 7,No
"5,3,2,7,7,6",24,gonality: 7,No
"5,3,2,7,7,7",25,gonality: 7,No
"5,3,2,7,7,8",26,gonality: 7,No
"5,3,2,7,8,5",24,gonality: 7,No
"5,3,2,7,8,6",25,gonality: 7,No
"5,3,2,7,8,7",26,gonality: 7,No
"5,3,2,7,8,8",27,gonality: 7,No
"5,3,2,8,2,6",20,gonality: 7,No
"5,3,2,8,2,7",21,gonality: 7,No
"5,3,2,8,2,8",22,gonality: 7,No
"5,3,2,8,3,5",20,gonality: 7,No
"5,3,2,8,3,6",21,gonality: 7,No
"5,3,2,8,3,7",22,gonality: 7,No
"5,3,2,8,3,8",23,gonality: 7,No
"5,3,2,8,4,5",21,gonality: 7,No
"5,3,2,8,4,6",22,gonality: 7,No
"5,3,2,8,4,7",23,gonality: 7,No
"5,3,2,8,4,8",24,gonality: 7,No
"5,3,2,8,5,5",22,gonality: 7,No
"5,3,2,8,5,6",23,gonality: 7,No
"5,3,2,8,5,7",24,gonality: 7,No
"5,3,2,8,5,8",25,gonality: 7,No
"5,3,2,8,6,5",23,gonality: 7,No
"5,3,2,8,6,6",24,gonality: 7,No
"5,3,2,8,6,7",25,gonality: 7,No
"5,3,2,8,6,8",26,gonality: 7,No
"5,3,2,8,7,5",24,gonality: 7,No
"5,3,2,8,7,6",25,gonality: 7,No
"5,3,2,8,7,7",26,gonality: 7,No
"5,3,2,8,7,8",27,gonality: 7,No
"5,3,2,8,8,5",25,gonality: 7,No
"5,3,2,8,8,6",26,gonality: 7,No
"5,3,2,8,8,7",27,gonality: 7,No
"5,3,2,8,8,8",28,gonality: 7,No
"5,3,3,2,2,6",15,gonality: 5,No
"5,3,3,2,2,7",16,gonality: 5,No
"5,3,3,2,2,8",17,gonality: 5,No
"5,3,3,2,3,6",16,gonality: 6,No
"5,3,3,2,3,7",17,gonality: 6,No
"5,3,3,2,3,8",18,gonality: 6,No
"5,3,3,2,4,5",16,gonality: 6,No
"5,3,3,2,4,6",17,gonality: 6,No
"5,3,3,2,4,7",18,gonality: 6,No
"5,3,3,2,4,8",19,gonality: 6,No
"5,3,3,2,5,5",17,gonality: 6,No
"5,3,3,2,5,6",18,gonality: 6,No
"5,3,3,2,5,7",19,gonality: 6,No
"5,3,3,2,5,8",20,gonality: 6,No
"5,3,3,2,6,5",18,gonality: 6,No
"5,3,3,2,6,6",19,gonality: 6,No
"5,3,3,2,6,7",20,gonality: 6,No
"5,3,3,2,6,8",21,gonality: 6,No
"5,3,3,2,7,5",19,gonality: 6,No
"5,3,3,2,7,6",20,gonality: 6,No
"5,3,3,2,7,7",21,gonality: 6,No
"5,3,3,2,7,8",22,gonality: 6,No
"5,3,3,2,8,5",20,gonality: 6,No
"5,3,3,2,8,6",21,gonality: 6,No
"5,3,3,2,8,7",22,gonality: 6,No
"5,3,3,2,8,8",23,gonality: 6,No
"5,3,3,3,2,6",16,gonality: 5,No
"5,3,3,3,2,7",17,gonality: 5,No
"5,3,3,3,2,8",18,gonality: 5,No
"5,3,3,3,3,5",16,gonality: 5,No
"5,3,3,3,3,6",17,gonality: 5,No
"5,3,3,3,3,7",18,gonality: 5,No
"5,3,3,3,3,8",19,gonality: 5,No
"5,3,3,3,4,5",17,gonality: 6,No
"5,3,3,3,4,6",18,gonality: 6,No
"5,3,3,3,4,7",19,gonality: 6,No
"5,3,3,3,4,8",20,gonality: 6,No
"5,3,3,3,5,5",18,gonality: 6,No
"5,3,3,3,5,6",19,gonality: 6,No
"5,3,3,3,5,7",20,gonality: 6,No
"5,3,3,3,5,8",21,gonality: 6,No
"5,3,3,3,6,5",19,gonality: 6,No
"5,3,3,3,6,6",20,gonality: 6,No
"5,3,3,3,6,7",21,gonality: 6,No
"5,3,3,3,6,8",22,gonality: 6,No
"5,3,3,3,7,5",20,gonality: 6,No
"5,3,3,3,7,6",21,gonality: 6,No
"5,3,3,3,7,7",22,gonality: 6,No
"5,3,3,3,7,8",23,gonality: 6,No
"5,3,3,3,8,5",21,gonality: 6,No
"5,3,3,3,8,6",22,gonality: 6,No
"5,3,3,3,8,7",23,gonality: 6,No
"5,3,3,3,8,8",24,gonality: 6,No
"5,3,3,4,2,6",17,gonality: 6,No
"5,3,3,4,2,7",18,gonality: 6,No
"5,3,3,4,2,8",19,gonality: 6,No
"5,3,3,4,3,5",17,gonality: 6,No
"5,3,3,4,3,6",18,gonality: 6,No
"5,3,3,4,3,7",19,gonality: 6,No
"5,3,3,4,3,8",20,gonality: 6,No
"5,3,3,4,4,5",18,gonality: 6,No
"5,3,3,4,4,6",19,gonality: 6,No
"5,3,3,4,4,7",20,gonality: 6,No
"5,3,3,4,4,8",21,gonality: 6,No
"5,3,3,4,5,5",19,gonality: 6,No
"5,3,3,4,5,6",20,gonality: 7,No
"5,3,3,4,5,7",21,gonality: 7,No
"5,3,3,4,5,8",22,gonality: 7,No
"5,3,3,4,6,5",20,gonality: 7,No
"5,3,3,4,6,6",21,gonality: 7,No
"5,3,3,4,6,7",22,gonality: 7,No
"5,3,3,4,6,8",23,gonality: 7,No
"5,3,3,4,7,5",21,gonality: 7,No
"5,3,3,4,7,6",22,gonality: 7,No
"5,3,3,4,7,7",23,gonality: 7,No
"5,3,3,4,7,8",24,gonality: 7,No
"5,3,3,4,8,5",22,gonality: 7,No
"5,3,3,4,8,6",23,gonality: 7,No
"5,3,3,4,8,7",24,gonality: 7,No
"5,3,3,4,8,8",25,gonality: 7,No
"5,3,3,5,2,6",18,gonality: 7,No
"5,3,3,5,2,7",19,gonality: 7,No
"5,3,3,5,2,8",20,gonality: 7,No
"5,3,3,5,3,5",18,gonality: 7,No
"5,3,3,5,3,6",19,gonality: 7,No
"5,3,3,5,3,7",20,gonality: 7,No
"5,3,3,5,3,8",21,gonality: 7,No
"5,3,3,5,4,5",19,gonality: 7,No
"5,3,3,5,4,6",20,gonality: 7,No
"5,3,3,5,4,7",21,gonality: 7,No
"5,3,3,5,4,8",22,gonality: 7,No
"5,3,3,5,5,5",20,gonality: 6,No
"5,3,3,5,5,6",21,gonality: 7,No
"5,3,3,5,5,7",22,gonality: 7,No
"5,3,3,5,5,8",23,gonality: 7,No
"5,3,3,5,6,5",21,gonality: 7,No
"5,3,3,5,6,6",22,gonality: 7,No
"5,3,3,5,6,7",23,gonality: 7,No
"5,3,3,5,6,8",24,gonality: 7,No
"5,3,3,5,7,5",22,gonality: 7,No
"5,3,3,5,7,6",23,gonality: 7,No
"5,3,3,5,7,7",24,gonality: 7,No
"5,3,3,5,7,8",25,gonality: 7,No
"5,3,3,5,8,5",23,gonality: 7,No
"5,3,3,5,8,6",24,gonality: 7,No
"5,3,3,5,8,7",25,gonality: 7,No
"5,3,3,5,8,8",26,gonality: 7,No
"5,3,3,6,2,6",19,gonality: 6,No
"5,3,3,6,2,7",20,gonality: 7,No
"5,3,3,6,2,8",21,gonality: 7,No
"5,3,3,6,3,5",19,gonality: 6,No
"5,3,3,6,3,6",20,gonality: 6,No
"5,3,3,6,3,7",21,gonality: 7,No
"5,3,3,6,3,8",22,gonality: 7,No
"5,3,3,6,4,5",20,gonality: 7,No
"5,3,3,6,4,6",21,gonality: 7,No
"5,3,3,6,4,7",22,gonality: 7,No
"5,3,3,6,4,8",23,gonality: 7,No
"5,3,3,6,5,5",21,gonality: 6,No
"5,3,3,6,5,6",22,gonality: 7,No
"5,3,3,6,5,7",23,gonality: 7,No
"5,3,3,6,5,8",24,gonality: 7,No
"5,3,3,6,6,5",22,gonality: 6,No
"5,3,3,6,6,6",23,gonality: 6,No
"5,3,3,6,6,7",24,gonality: 7,No
"5,3,3,6,6,8",25,gonality: 7,No
"5,3,3,6,7,5",23,gonality: 7,No
"5,3,3,6,7,6",24,gonality: 7,No
"5,3,3,6,7,7",25,gonality: 7,No
"5,3,3,6,7,8",26,gonality: 7,No
"5,3,3,6,8,5",24,gonality: 7,No
"5,3,3,6,8,6",25,gonality: 7,No
"5,3,3,6,8,7",26,gonality: 7,No
"5,3,3,6,8,8",27,gonality: 7,No
"5,3,3,7,2,6",20,gonality: 7,No
"5,3,3,7,2,7",21,gonality: 7,No
"5,3,3,7,2,8",22,gonality: 7,No
"5,3,3,7,3,5",20,gonality: 7,No
"5,3,3,7,3,6",21,gonality: 7,No
"5,3,3,7,3,7",22,gonality: 7,No
"5,3,3,7,3,8",23,gonality: 7,No
"5,3,3,7,4,5",21,gonality: 7,No
"5,3,3,7,4,6",22,gonality: 7,No
"5,3,3,7,4,7",23,gonality: 7,No
"5,3,3,7,4,8",24,gonality: 7,No
"5,3,3,7,5,5",22,gonality: 7,No
"5,3,3,7,5,6",23,gonality: 7,No
"5,3,3,7,5,7",24,gonality: 7,No
"5,3,3,7,5,8",25,gonality: 7,No
"5,3,3,7,6,5",23,gonality: 7,No
"5,3,3,7,6,6",24,gonality: 7,No
"5,3,3,7,6,7",25,gonality: 7,No
"5,3,3,7,6,8",26,gonality: 7,No
"5,3,3,7,7,5",24,gonality: 7,No
"5,3,3,7,7,6",25,gonality: 7,No
"5,3,3,7,7,7",26,gonality: 7,No
"5,3,3,7,7,8",27,gonality: 7,No
"5,3,3,7,8,5",25,gonality: 7,No
"5,3,3,7,8,6",26,gonality: 7,No
"5,3,3,7,8,7",27,gonality: 7,No
"5,3,3,7,8,8",28,gonality: 7,No
"5,3,3,8,2,6",21,gonality: 7,No
"5,3,3,8,2,7",22,gonality: 7,No
"5,3,3,8,2,8",23,gonality: 7,No
"5,3,3,8,3,5",21,gonality: 7,No
"5,3,3,8,3,6",22,gonality: 7,No
"5,3,3,8,3,7",23,gonality: 7,No
"5,3,3,8,3,8",24,gonality: 7,No
"5,3,3,8,4,5",22,gonality: 7,No
"5,3,3,8,4,6",23,gonality: 7,No
"5,3,3,8,4,7",24,gonality: 7,No
"5,3,3,8,4,8",25,gonality: 7,No
"5,3,3,8,5,5",23,gonality: 7,No
"5,3,3,8,5,6",24,gonality: 7,No
"5,3,3,8,5,7",25,gonality: 7,No
"5,3,3,8,5,8",26,gonality: 7,No
"5,3,3,8,6,5",24,gonality: 7,No
"5,3,3,8,6,6",25,gonality: 7,No
"5,3,3,8,6,7",26,gonality: 7,No
"5,3,3,8,6,8",27,gonality: 7,No
"5,3,3,8,7,5",25,gonality: 7,No
"5,3,3,8,7,6",26,gonality: 7,No
"5,3,3,8,7,7",27,gonality: 7,No
"5,3,3,8,7,8",28,gonality: 7,No
"5,3,3,8,8,5",26,gonality: 7,No
"5,3,3,8,8,6",27,gonality: 7,No
"5,3,3,8,8,7",28,gonality: 7,No
"5,3,3,8,8,8",29,gonality: 7,No
"5,3,4,2,2,6",16,gonality: 6,No
"5,3,4,2,2,7",17,gonality: 6,No
"5,3,4,2,2,8",18,gonality: 6,No
"5,3,4,2,3,6",17,gonality: 6,No
"5,3,4,2,3,7",18,gonality: 6,No
"5,3,4,2,3,8",19,gonality: 6,No
"5,3,4,2,4,5",17,gonality: 6,No
"5,3,4,2,4,6",18,gonality: 6,No
"5,3,4,2,4,7",19,gonality: 6,No
"5,3,4,2,4,8",20,gonality: 6,No
"5,3,4,2,5,5",18,gonality: 6,No
